doi,author,title,year,abstract,journal
https://doi.org/10.1075/cf.00065.edi,Francesca Masini; Bracha Nir,Editorial announcement,2022,There is no abstract available.,Constructions and Frames
https://doi.org/10.1075/cf.21001.lec,Benoît Leclercq,"From modals to modal constructions. An n-gram analysis of can, could and be able to",2022,"The goal of this paper is to present the results of a corpus analysis aimed at identifying n-grams (i.e., lexical
sequences) with the modals can, could and be able to. While details about the
functional profile of these verbs are still being discussed (e.g., Leclercq & Depraetere
2022), it is surprising that relatively scarce attention is given to the lexico-grammatical patterns in which they are
found and which come with their own semantic and pragmatic features. Using the methodology developed in Cappelle and Depraetere (2016b), a total of 1,640 n-grams were extracted from COCA (Davies 2008-). A number of these patterns are discussed and, in keeping with the approach developed in
Construction Grammar (Hilpert 2019), it is shown that an enhanced understanding of
these verbs can be achieved when viewed as part of more complex networks of constructions.",Constructions and Frames
https://doi.org/10.1075/cf.21007.azi,Zoleikha Azimdokht; Adel Rafiei; Jenny Audring,Modelling polysemy and categorial ambiguity in a constructional family. The case of agentive compounds in Persian,2022,"In this paper we analyse a family of compound constructions in Persian that show two interesting properties: (1) they split into two semantic patterns, human agent noun and instrument noun, and (2) they display categorial ambiguity between noun and adjective. The compounds in question, which are formed with the verbal stem -yāb ‘find’, are collected from diachronic and synchronic corpora and analysed in the framework of Construction Morphology (Booij 2010). We argue that the instrumental pattern is an innovation under the influence of loan-translated English instrument nouns. This pattern dovetailed with a much older morphological construction for human agent nouns. This raises questions about the relation between the two constructions in the contemporary speaker’s lexicon. For the dual functionality of the words as nouns and adjectives, we argue that it can be understood as a second order schema (Booij & Masini 2015) or sister construction (Jackendoff & Audring 2019, 2020), whereby no precedence is ascribed to either of the two patterns.",Constructions and Frames
https://doi.org/10.1075/cf.21002.cic,Anna Cichosz,Old English V-initial and þa-VS main clauses. Independent constructions or allostructions?,2022,"This study is a corpus-based constructionist analysis of Old English (OE) constituent order, focusing on verb-initial declaratives and þa-VS main clauses. The main objective of the investigation is to determine the degree of the formal and functional similarity of both patterns in order to establish whether they functioned as two independent constructions (in Construction Grammar terms), with their relation based on functional contrast. The other possibility taken into consideration in the analysis is that the two patterns should rather be treated as variants of the same construction, as suggested in some previous, non-constructionist studies of the topic, which would make it possible to analyse them as allostructions. The study shows that on the general level of the language network, the two clause types are surprisingly different in many respects: their form is less similar than previously assumed, they have drastically different corpus distributions, they show different collocational preferences and perform different discourse functions. Nevertheless, on the lower level of the network, the two constructions show some overlaps in the presentational, narrative and reporting function. At the same time, however, there is a deep functional difference between texts authored by Ælfric and other OE prose records.",Constructions and Frames
https://doi.org/10.1075/cf.00063.doo,Sheila Dooley,Review of Hoffmann (2019): English Comparative Correlatives: Diachronic and Synchronic Variation at the Lexicon-Syntax Interface,2022,This article reviews English Comparative Correlatives: Diachronic and Synchronic Variation at the Lexicon-Syntax Interface 9781108477215,Constructions and Frames
https://doi.org/10.1075/cf.00064.kim,Jong-Bok Kim,Review of Park (2019): Reference point and case: A Cognitive Grammar exploration of Korean,2022,This article reviews Reference point and case: A Cognitive Grammar exploration of Korean 9789027204295,Constructions and Frames
https://doi.org/10.1075/cf.00062.int,Gabriele Diewald; Dániel Czicza,Variation and Grammaticalization of Verbal Constructions,2022,"Construction grammar – most notably Cognitive Construction Grammar (Goldberg
2006), Radical Construction Grammar (Croft 2001) and Cognitive Grammar
(Langacker 2008) – has been extremely inspiring in providing tools for modelling
gradience in variation and change. Verbal constructions have been investigated within the paradigm of construction grammar from a
number of angles including idiomaticization processes as well as argument structure constructions (Boas 2003; Engelberg 2009; Faulhaber 2011; Goldberg 1995; Rostila
2007). Usage-based approaches (Barlow & Kemmer 2000; Bybee & Hopper 2001; Diessel 2015, 2019; Langacker 1988; Tomasello 2003) have pointed out that usage is the place to look for variation and change. Data-driven,
corpus-based approaches have introduced quantitative methods for analyzing constructional functionality and variety synchronically
(Stefanowitsch & Gries 2003; Gries
2006; Glynn 2014) and diachronically (Hilpert 2006). These techniques have given rise to detailed studies of verbal constructions, lexicalization and
idiomaticization.
This volume presents papers which in their majority have arisen in connection with the workshop “Variation and
Grammaticalization of Verbal Constructions”, held at the 51st SLE Annual Meeting at Tallinn, 29th August – 1st September 2018. Its
focus is on verbal constructions in Germanic languages, constructional variation and degrees of polyfunctionality between lexical,
idiomatic and grammaticalized usages. The major object of this volume is to investigate the conditions and interdependencies of
such variations and polyfunctionalities. The theoretical and conceptual foundations of the studies united here rest upon
grammaticalization theory, usage-based constructional approaches, and frame semantics, allway in combination with empirical testing. The
scope of interest comprises synchronic as well as diachronic phenomena in various registers and communicative types.",Constructions and Frames
https://doi.org/10.1075/cf.00056.hil,Martin Hilpert; Florent Perek,You don’t get to see that every day. On the development of permissive get,2022,"This paper contributes to the study of grammaticalization phenomena from the perspective of Construction Grammar
(Coussé et al. 2018). It is concerned with modal uses of the English verb
get that express a permitted action, as in The prisoners always get to make one phone call.
Different views exist on the contexts in which permissive get emerged. Gronemeyer (1999: 30) suggests that the permissive meaning derives from causative uses (I got him to
confess). An alternative is proposed by van der Auwera et al. (2009: 283),
who view permissive get as an extension of its acquisitive meaning (I got a present). We revisit
these claims in the light of recent historical data from American English. Specifically, we searched the COHA (Davies 2010) for forms of get followed by to and a verb
in the infinitive. Besides examples of permissive get, we retrieved examples of obligative got
to (I got to leave), causative get (Who did you get to confess?),
possessive got (What have I got to be ashamed of?), and a category that we label inchoative
get (You’re getting to be a big girl now). Drawing on distributional semantic techniques
(Perek 2016, 2018), we analyse how
permissive get and inchoative get developed semantically over time. Our results are consistent
with an account that represents an alternative to both Gronemeyer (1999) and van der Auwera et al. (2009), namely the idea that permissive get
evolved out of inchoative uses that invited the idea of a permission.",Constructions and Frames
https://doi.org/10.1075/cf.00057.joh,Berit Johannsen,She has a stadium named after her. Meaning variation in spoken interaction,2022,"In English, sequences consisting of the verb have, a noun phrase and a past participle vary in meaning. This meaning variation has been discussed both in the context of grammatical description and language change, mostly based on a handful of examples. This study seeks to combine theoretical and methodological approaches from construction grammar and interactional linguistics in the description of this meaning variation. Theoretically, this implies distinguishing between abstracted meaning potential and situated meaning of linguistic elements. Methodologically, this means taking both a coarse-grained view by means of a quantitative corpus-based approach that abstracts over a number of instances and a fine-grained view by means of qualitative analysis of talk-in-interaction.",Constructions and Frames
https://doi.org/10.1075/cf.00059.nie,Peter Juul Nielsen,"The affactive få ‘get’ construction in Danish. Afficiaries, agentivity and voice",2022,"in many other Germanic languages, Modern Danish combines the verb få ‘get’ and a semantic main verb in the supine form (the uninflected perfect participle). Three main types of the construction are found: an agentive type typically interpreted as expressing successful intentional action and two non-agentive types: one with a ditransitive main verb and promotion of the indirect object to subject status, and one with a non-valency-bound subject typically interpreted as a Beneficiary. Based on a functional framework, the paper presents a corpus study of the construction and an analysis unifying all three main types in a common Affactive Construction whose functional contribution is the specification of the subject as an Afficiary (Beneficiary or Maleficiary). The distinction between agentive and non-agentive interpretation is analysed as a voice distinction between active and passive.",Constructions and Frames
