doi,author,title,year,abstract,journal
https://doi.org/10.1080/14790718.2023.2181352,Eman Aljuhani,Rethinking the education of multilingual learners: a critical analysis of theoretical concepts,2023,,International Journal of Multilingualism
https://doi.org/10.1007/978-981-19-5848-9,Lei Cai; Lon Biou Li; Huann Yuh Tan,"Multilingualism, Identity and Interculturality in Education",2023,,International Journal of Multilingualism
https://doi.org/10.1080/14790718.2022.2148675,Valentina Carbonara; Andrea Scibetta; Jacopo Torregrossa,The benefits of multilingual pedagogies for multilingual children’s narrative abilities,2023,"The present study investigates whether exposure to multilingual pedagogies enhances emergent bilingual children’s narrative abilities. These abilities are among the most reliable indicators of children’s literacy skills. We compare two groups of emergent bilingual children with migrant background attending the fourth and fifth grade of a public primary school in Italy: 30 children were exposed to multilingual pedagogies, whereas 33 attended a ‘traditional’ monoglossic program. The results show that children exposed to multilingual pedagogies use more mental state terms in their narratives in both their home language and Italian than children exposed to monoglossic education. Furthermore children exposed to multilingual pedagogies exhibit similar patterns of use of mental state terms across the two languages. By contrast, the production of mental state terms differs across the two languages among the children exposed to monoglossic education. The qualitative analysis of the narratives shows that the home and the school language dynamically interact with each other regarding the construction of the narrative among the children exposed to multilingual pedagogies. The children attending monoglossic programs rely mostly on literal translations. The study shows that multilingual pedagogies boost emergent bilinguals’ literacy skills and enable them to access these skills from all languages in their repertoire. ",International Journal of Multilingualism
https://doi.org/10.1080/14790718.2022.2164768,Lukas Eibensteiner,Complex transfer processes in multilingual language (L3/Ln) acquisition of Spanish past tenses: the role of non-native language (L2) transfer,2023,"Research has shown that non-native background languages (L2s) can play an important role in the acquisition of an L3/Ln. However, only a few studies have focussed on positive transfer from an L2 to an L3/Ln in the context of multilingual language acquisition of Romance past tenses. The present study therefore analyses the acquisition of perfective/imperfective aspect in Spanish by 58 German-speaking multilingual learners with previous linguistic knowledge in two L2s (i.e. English and French). Data were elicited by means of a language background questionnaire, a c-test (for proficiency measures in Spanish), and three semantic interpretation tasks (used to determine the participants’ knowledge of aspect in the L2s and the target language). The findings indicate that the learners transfer the form-meaning-mappings established in (one of) their L2s, resulting in positive effects when form-meaning-mappings between the L2 and the target language(s) are similar. ",International Journal of Multilingualism
https://doi.org/10.1080/14790718.2023.2170382,Maria-Adelina Ianos; Ursula Hinostroza-Castillo; Fernando Senar; Cristina Petreñas,Predicting language use in Catalonia (Spain): the role of implicit and explicit language attitudes,2023,"This study examines the relationship between language attitudes and language use from a social cognition perspective in the context of Catalonia, a culturally and linguistically diverse Spanish Autonomous Community that has been implementing social and educational measures to promote the use of its own language, Catalan. We examined how implicit and explicit measures of attitudes towards Catalan and Spanish predict self-reported language use and spontaneous language choice. Participants (N = 98) completed an Implicit Association Test (IAT), self-reports of language attitudes and use, and a spontaneous language choice. Although both implicit and explicit measures correlated with the behavioural measures, the results showed that the IAT had predictive and incremental validity. Moreover, a partial dissociation pattern of prediction was identified, underscoring the importance of including implicit measures of language attitudes, as they predict variance in behaviour above and beyond what is predicted by explicit measures. ",International Journal of Multilingualism
https://doi.org/10.1080/14790718.2023.2205143,Samuel Nfor,Language acts and worldmaking,2023,,International Journal of Multilingualism
https://doi.org/10.1080/14790718.2023.2172174,Alice Chik; Sílvia Melo-Pfeifer,Discussion of the special issue. Beliefs about multilingualism: is a methodological and epistemological change necessary?,2023,"ABSTRACT In this commentary to the special issue, we will present our personal understanding of how its five papers contribute to advance the research field of beliefs about multilingualism and a critical stance on how multilingualism has been approached in the literature. We will point some ways forward on the research on beliefs about multilingualism claiming that this research area needs to shift from a rather Eurocentric perspective, to embrace less logocentric research methods, and to critically examine its stance on multilingualism, by considering intersectionality on the ways beliefs are studied.",International Journal of Multilingualism
https://doi.org/10.1080/14790718.2023.2197647,Herbert Igboanusi,Yorùbá language endangerment and loss in the domain of radio broadcast,2023,"Against the backdrop of the warnings by some previous studies about the danger of the Yorùbá language losing domains because of the increasing dominance of English, the present study examines the broadcast languages of selected radio stations in Osun State, Nigeria, to ascertain the extent of the threat of English to Yorùbá in broadcast media domain. The investigation is carried out within the wider context of the worries being expressed by many speakers of Yorùbá about the status of the language with respect to language endangerment. It employs both quantitative and qualitative research designs rooted in content analysis, and examines 426 purposively sampled programmes of Rave FM and Gold FM. The programmes were sorted and content-analysed using charts. Of the 12 examined programme categories, English is the dominant language of 9 most important programmes, while Yorùbá is the dominant language of 3 programmes; thereby pointing to a gradual loss of the radio broadcast domain. The study recommends more value-added usage of the Yorùbá language in media domains to improve the language’s vitality and inclusive audience participation. ",International Journal of Multilingualism
https://doi.org/10.1080/14790718.2023.2235401,Salah Ben Hammou; Abdelaziz Kesbi,Exploring multilingual education in Morocco: official documents and teachers’ perceptions,2023,,International Journal of Multilingualism
https://doi.org/10.1080/14790718.2022.2160726,Adrian Lundberg; Hanne Brandt,Teachers’ beliefs about multilingualism: novel findings and methodological advancements: introduction to special issue,2023,"ABSTRACT This special issue consists of five original research papers from four European countries. By applying different methodologies (qualitative, quantitative, and mixed-methods), the contributions aim to better understand teachers’ beliefs about multilingualism in a time of increasingly globalised societies and intensified migration flows. The studies cover all educational stages and include pre-service as well as in-service teachers, and teacher educators. Both individual and collective beliefs are considered. While two of the studies are cross-sectional, the other three apply a pre-post study design in order to investigate whether teachers’ beliefs can be influenced through adequate learning opportunities. The special issue is wrapped up by a commentary piece that links the findings and issues raised by the individual papers and addresses four pressing matters which should be considered to advance further research on teachers’ beliefs about multilingualism. In this editorial, we briefly introduce the concept of teachers’ beliefs and explain its relevance for teaching and learning in multilingual settings. Based on an ongoing review study, we provide a summary of the most commonly used methodologies in research on teachers’ beliefs about multilingualism. We conclude with a summary of the five original papers as well as the commentary piece in this special issue.",International Journal of Multilingualism
