doi,author,title,year,abstract,journal
https://doi.org/10.1515/jall-2023-2003,Maria Bulakh,The first person prefixes in South Ethio-Semitic,2023,"South Ethio-Semitic (SES) is a genealogical branch of Ethio-Semitic (ES), a subgroup of Semitic found almost entirely in Ethiopia and Eritrea. The paper considers two features characteristic of several South Ethio-Semitic languages. Firstly, the Prefix Conjugation displays a common 1 sg/ 1 pl prefix in various SES languages. Secondly, an innovative 1 pl suffix is often employed in the Prefix Conjugation. In forms with 1 sg/ 1 pl syncretism, this suffix takes over the functional load of the plural marker. Both features are innovative in SES, and their absence from a number of languages in each of the main subbranches suggests areal diffusion rather than a shared innovation going back to the Proto-SES level. In former studies, it has been suggested that the innovative 1 pl suffix was borrowed from Cushitic and that its introduction has triggered the 1 sg/ 1 pl syncretism. This hypothesis is critically reassessed in the present paper, which considers in detail various patterns of 1 sg/ 1 pl syncretism and various patterns of its interaction with the 1 pl suffix, and offers a tentative reconstruction of their emergence and spread in the languages in question.",Journal of African Languages and Linguistics
https://doi.org/10.1515/jall-2023-2005,Aron Finholt; John Gluckman,A corpus analysis of Swahili’s dual-complementizer system,2023,"Tanzanian Swahili has two complementizers, kuwa and kwamba , both used to introduce finite embedded clauses. We explore whether the complementizers are in free variation, as reported in all descriptive and pedagogical work. Our study primarily relies on corpus data, which we supplement with native speaker judgments. We find that the complementizers are not in free variation, but in fact are affected by a number of factors known to affect embedded clauses cross-linguistically, including predicate class, person features of the main-clause subject, and mood in the embedded clause. We conclude that the complementizers ultimately reflect subtle, pragmatic factors concerning how the truth of the embedded clause should be evaluated. Our study expands on previous work on languages with so-called “dual-complementizer” systems.",Journal of African Languages and Linguistics
https://doi.org/10.1515/jall-2023-2007,Eyo O. Mensah; Vivian Afi Dzokoto,"Melting intestines, red hearts, and scattering eyes: exploring embodiment in the Efik feeling lexica",2023,"Languages feature labels used to name various feeling states, referred to as emotion lexica. Language-specific linguistic features patterned after culturally-shaped templates such as somatic referencing, make each emotion lexicon unique. This study investigates somatic referencing in the emotion lexicon of the Efik ethnolinguistic group obtained through ethnographic linguistic fieldwork in South-eastern Nigeria. Our analysis revealed that in the Efik language, nearly fifty body-centered lexemes serve as the primary labels for a variety of feeling states. The identified emotion terms incorporated specific body parts, various parts of the face, as well as the generalized body. In each instance, the body referent constituted part of the internal structure of the feeling label. Our findings complement existing emotion research examining the cultural scripting of emotion experiences as well as their expression and communication.",Journal of African Languages and Linguistics
https://doi.org/10.1515/jall-2023-2006,Andrey Shluinsky,Adpositions and adpositional relator nouns in Akebu,2023,"This paper presents an overview, based on field data, of the adpositional system in Akebu, a Kwa (Ghana-Togo Mountain) language of West Africa. Like other Kwa languages, Akebu has both linear types of adpositions. Prepositions are not numerous and are fully grammaticalized. Two prepositions are used very widely, one of them expressing a comitative meaning and a number of related ones, the other having a generalized locative meaning, as well as other ones. In contrast, postpositions are more numerous, but most of them are weakly grammaticalized relator nouns that express the meanings of locational orientations and keep nominal morphology and independent uses. Still, grammaticalized postpositions are also present, the most common of them being a postposition that expresses apudessive, i.e. near, next to, orientation.",Journal of African Languages and Linguistics
https://doi.org/10.1515/jall-2022-8899,Tom Güldemann; Ines Fiedler,Restructured Niger-Congo gender systems as another type of concurrent nominal classification,2023,"Recent research looks increasingly at languages with more than one system of nominal classification and first systematic typological assessments of so-called “concurrent noun classification” exist with a focus on cases involving classifiers and gender. We elaborate on this work by dealing with Niger-Congo languages that have restructured their inherited noun classification in a particular way. The inherited system entailing a strong parallelism between agreement-based gender and affix-based noun inflections shifted toward one where the gender system is reduced to an animacy-based opposition while nominal inflection maintains a considerable amount of original complexity with semantic criteria beyond those of the innovative gender distinction. While the phenomenon as such is not a new discovery, its typological relevance has gone unrecognized so far. We argue that such cases of restructured gender systems in Niger-Congo prima facie suggest themselves as candidates for a new type of concurrent noun classification, both from a synchronic and diachronic perspective. We present a detailed description of the phenomenon in the Guang language Gonja and determine whether or how it can be integrated in the available typology. We also survey its wider distribution and discuss some recurrent historical aspects of its emergence in the family.",Journal of African Languages and Linguistics
https://doi.org/10.1515/jall-2022-8900,Maria Konoshenko,Tones and paradigms: a study of grammatical tones in Mande verbal inflection,2023,"This paper explores how grammatical tones (GTs) are organized into inflectional paradigms in a sample of 20 Mande languages (Niger-Congo), where tonal morphology plays a central role in the expression of TAMP meanings. Adopting the Canonical Typology approach, I assess the degree of canonicity in Mande GTs based on their formal and semantic properties. I show that verbal grammatical tones are mainly realized as replacive in Mande; they are independent from segmental morphemes and may be strongly influenced by surface phonology. Verbal GTs tend to be used in idiosyncratic sets of TAMP constructions and form phonologically determined inflectional classes in Mande, as in many other African languages. I argue that GTs attested in Perfective and Irrealis constructions in modern Mande languages are likely to be an old phenomenon already present in Proto Mande. The consistency of morphological tone assignment in Mande verbs suggests that GTs may be genetically quite stable morphological markers.",Journal of African Languages and Linguistics
https://doi.org/10.1515/jall-2022-8896,Stefano Manfredi,An areal typology of kin terms in the Nuba Mountain languages,2023,"Despite the relatively large amount of linguistic and anthropological data on kinship terminologies in the languages of the Nuba Mountains, we still lack cross-linguistic studies attempting at reconstructing the areal history of this highly variable lexical field. This paper aims at comparing the formal and semantic features of kin terms across the languages of the Nuba Mountains in order to provide historical evidence for their transmission through inheritance or their possible diffusion via language contact. The comparative study surveys the kinship terminologies of 10 languages belonging to the three phyla attested in the Nuba Mountains (i.e. Niger-Congo, Nilo-Saharan and Kadu). In the first part of the paper, I analyze the morphosyntactic properties and functions of kin terms. By adopting a componential perspective of analysis, I then focus on the semantics of kin terms in the languages of the sample. The comparison eventually illustrates a high degree of typological variation whose origins can be traced back to the different genetic affiliations of the Nuba Mountain languages. It is also argued that matter and/or pattern borrowing can possibly occur in the domain of kin terms. However, language contact is less significant than shared sociocultural factors in triggering formal and semantic similarities across different kin terminologies. Above and beyond, the study intends to contribute to the ongoing debate on whether the Nuba Mountains constitute an ‘accretion’ zone and to point out some instances of micro-scale linguistic convergence between the languages of the region.",Journal of African Languages and Linguistics
https://doi.org/10.1515/jall-2022-8898,Nicholas Rolle; Ethelbert Emmanuel Kari,Tone and prosodic recursion in Degema nouns and noun phrases,2023,"This paper presents the first systematic study of tone in nouns and noun phrases in Degema. From a database of approximately 1,000 nouns, we find that nouns fall into three main tone patterns: /L-L/ (48% of nouns), /H-H/ (18%), and /L-HH/ (13%). This last case is theoretically important in that it includes cases where two separate H tones associate to the same tone-bearing unit, in violation of the Obligatory Contour Principle. In isolation, nouns are subject to two basic tone rules which alter their underlying forms: downstep is inserted between two final H’s (e.g. /H-H/ → [H ↓ H]), and H is inserted at the end of an all-low sequence (e.g. /L-L/ → [LH]). The combined effect of these rules is that virtually all nouns and noun phrases have a pitch change. Further, we catalog tonal effects found on nouns in 33 distinct modificational contexts within the noun phrase. We attribute these tonal effects to whether modifiers plus the noun form phonological phrases (φ) or phonological words (ɷ), and whether they form recursive prosodic structures, e.g. of the type ( ( A )φ B )φ. By positing recursive structure, we can localize tonal effects to an outermost prosodic layer (e.g. φ [+max] ), innermost layer (e.g. φ [+min] ), non-inner or outermost layers (e.g. φ [-max] ), or to the prosodic category as a whole (i.e. all layers of a φ).",Journal of African Languages and Linguistics
https://doi.org/10.1515/jall-2023-2001,Samir Ben Si Saïd,Noun formation in Kabyle Berber,2023,"This article deals with the formation of nouns in Kabyle Berber. Analysis of Dallet’s (Dallet, Jean-Mari. 1982. Dictionnaire kabyle-français . Paris: Selaf) dictionary data has shown that 1) elements that appear in the plural but are absent in the singular are unpredictable and therefore part of the lexical ingredients of the root; 2) the plural template has a constant size of 5 CV units.",Journal of African Languages and Linguistics
https://doi.org/10.1515/jall-2022-8892,Hilde Gunnink,Morphological Khoisan influence in the Southern African Bantu language Yeyi,2022,"Language contact with Khoisan languages has resulted in the adoption of click phonemes in certain southern African Bantu languages. Contact-induced changes outside the phonological domain, however, are less commonly recognized. This paper provides a first ever analysis of morphological influence from Khoisan languages in Yeyi, a Bantu language spoken in Botswana and Namibia. Firstly, Yeyi has a set of lexical verbs that take an obligatory prefix i- or ra- , and both these prefixes and many of the verbs on which they occur are of Khoisan origin. Secondly, Yeyi has four verbal derivational suffixes that have been copied from Khoisan languages. The description of these contact-induced changes in Yeyi shows that contact with Khoisan languages, especially those of the Khoe family, involved extensive bilingualism. Dialectal difference in Yeyi furthermore suggests that Khoisan contact was more intense in Botswana than in Namibia. As some linguistic changes appear to derive from Khoisan languages that are not spoken in the vicinity of Yeyi, the language contact situation in which they arose was quite different from the one that occurs today.",Journal of African Languages and Linguistics
