doi,author,title,year,abstract,journal
https://doi.org/10.1353/jcl.2023.0006,,The functional load of Chinese tones and the tonal evolution,2023,"This study calculated the functional load of Chinese tones in different contexts by using an extensive corpus and the Markov model-based ""Hockett-Wang algorithm"". The results show that, compared to vowels and consonants, tones carry the smallest functional load. In tones that are associated with monosyllabic, bi-syllabic, and multi-syllabic words, the functional load is inversely related to the number of syllables in that word. In other words, the more syllables in a word, the further the functional load of tones tends to decrease. Importantly, this study reveals a close correlation between the functional load of Chinese tones and the evolution of these tones. This is evidenced by the perceived imbalance of the functional load of different tonal contrasts within contemporary Chinese, as well as by the simulation results of the drastically declining functional load of Chinese tones in diachronic. These results may suggest that the declining load of Chinese tones is indeed the underlying driver for the merger and the resulting decline in the number of Chinese tones. The conclusions of the paper may shed new light for future research in the fields of phonology, speech engineering, as well as second language teaching. ",Journal of Chinese Linguistics
https://doi.org/10.1353/jcl.2023.0008,,Acoustic correlates of prominence in Kala Lizu (Tibeto-Burman),2023,"This study investigates acoustic correlates of prominence in Lizu (Tibeto-Burman). Lizu has been argued to have a hybrid prosodic system combining lexical tone on monosyllabic words and prominence patterns with stress-like and tonal characteristics on polysyllabic words, although empirical evidence is lacking. This study presents an acoustic investigation of the pitch patterns on disyllabic words in the Kala variety of Lizu (HL, HH, LH). Using the parameters of duration, intensity, and f0, it attempts to sort out different forms of prominence, and to explore their interaction with lexical tone. The measurements are taken from experimental data with eight Lizu speakers (4 male and 4 female). The acoustic results and statistical analyses suggest that the first syllable in Kala Lizu is the position of prominence in all three pitch patterns. Our results are consistent with interpreting the pitch pattern HL as more stress-like (with intensity as an acoustic correlate of stress) and the pitch patterns HH and LH as more tone-like (with stress cued by full realization of lexical tone). This study contributes to a better understanding of the prosodic organization of Kala Lizu and it also suggests methodology for further exploration of other Lizu varieties. ",Journal of Chinese Linguistics
https://doi.org/10.1353/jcl.2023.0007,Nurettin TEKİN,Reconstructions of Ancient Chinese revisited: From a perspective of similarity calculation on doculects. (In Chinese),2023,本文采用 ASJP 模式的语档(doculect)距离计算方法，以经过平衡的 60 个现代汉语方言语档为参照，将高本汉、王力、李方桂、董同龢、周法高、郑张尚芳、潘悟云、白一平-沙加尔等八家构拟的上古音及中古音形成语档，对这些语档进行相似度、变化速率等数据的计算分析。结果显示，在上古、中古拟音与现代汉语方言的相似度，上古拟音到中古拟音的变化速率，上古到中古、中古到现代这两个时期的变化速率比等多个方面，郑张尚芳、白一平-沙加尔的构拟在八家中是合理性和自洽性相对最高的。本文分析认为，从语言历时变化这一外部角度，通过有关数据计算可以为古音构拟的评价提供一定的客观参照。 ,Journal of Chinese Linguistics
https://doi.org/10.1353/jcl.2023.0003,,Romanized transcriptions of Cantonese prior to Robert Morrison's: A study of the Whampoa dialect spoken in the 1820s as recorded in German Sources,2023,"Fung Ahok, a native of Whampoa, was one of the earliest Chinese ever to visit Germany. During his stay, several German authors described the two varieties of Cantonese spoken by him and his fellow traveler, Fung Asseng, a native of Xiāngshān. Meanwhile, both Fungs themselves also produced abundant manuscripts reflecting their Cantonese phonology, which can be believed to be of great value for exploring Early Cantonese. This paper aims to investigate the various materials left by Fung Ahok and some German scholars on Cantonese transcription and thus reconstruct his personal phonology. ",Journal of Chinese Linguistics
https://doi.org/10.1353/jcl.2017.0138,Hsin‐I Hsieh,The idea of an indigenous chinese grammar,2023,"As Chinese linguistics encounters a more developed general linguistics, two opposite reactions emerged. One is to learn and imitate, while the other is to learn and innovate. As a visionary, William S-Y. Wang (1999) innovates. He rejected purely formal theories such as the Generative Grammar and envisioned an Indigenous Chinese Grammar (ICG) that takes culture into consideration. Echoing Wang’s seminal vision, we offer a possible ICG. We focus on the perplexing pair of cai2 才 (‘necessary’) and jiu4 就 (‘sufficient’). Both cai2 and jiu4 have divergent meanings that may be closely related, well related, remotely related, or even dubiously related. (See for example, you3qian2 cai2 jia4 ta1 ‘Marry him only if he is rich’, ta1 cai2 lai2 ‘He has just come’, wo3 cai2 you3qian2 ‘I am the one that has money’, wo3 cai2 bu2 pao4 ne0 ‘I contrary to anybody’s expectation am not afraid’.) Traditional formal theories seem unable to explain this wide range of divergence. But an Emergent Grammar (EG) can. Given a composition, EG enables its two elements to ‘interact’ into a largely unpredictable result. Free interactions in a specific context produce flexible results, making the derived meanings often unpredictable, as one would expect from a Complex system as opposed to a Complicated system. Realized as a complex-systematic approach to Chinese grammar, Wang’s brilliant insight of ICG could well inspire and help launch a fresh advancement path in Chinese linguistics.",Journal of Chinese Linguistics
https://doi.org/10.1353/jcl.2017.0134,W. South Coblin,GUTTURAL FRICATIVES AND INITIAL *w- IN COMMON MǏN,2023,"In his earlier Proto-Mǐn reconstructed phonological system the late Professor Jerry Norman posited three guttural fricative initials, i.e., *x-, *h-, and *-h-. In early unpublished manuscripts dealing with this system, *x- was classed as velar, while *h- and *-h- were described as laryngeals. Initial *x- was characterized as voiceless and *h- and *-h- as voiced. In Norman (1974), however, *h- was transcribed as phonetic [ɣ], a voiced velar (rather than laryngeal) fricative, while *-h- was interpreted as [ɦ], a voiced laryngeal. In his much more recent Common Mǐn system, as represented in certain of his final dialectological publications and posthumous papers, Norman posited one voiceless velar fricative, *x-, and two laryngeals, *h-, and *ɦ-, the former voiceless and the latter voiced. Additionally, he reconstructed a rounded semivowel, Common Mǐn *w-, which had not been explicitly mentioned in his published presentations of Proto-Mǐn but was posited without comment in manuscript materials in a single word, i.e., huáng 黃 “yellow”. In the Common Mǐn system, on the other hand, this *w- plays a more prominent role and is also associated with the guttural fricatives in certain ways. The purpose of the present paper is to exemplify and compare Norman’s new Common Mǐn *x-, *h-, *ɦ-, and *w-.",Journal of Chinese Linguistics
https://doi.org/10.1353/jcl.2017.0127,Xueqi Jiang; Chen Chen,Romanized transcriptions of Cantonese prior to Robert Morrison's: A study of the Whampoa dialect spoken in the 1820s as recorded in German Sources,2023,"ABSTRACT:Fung Ahok, a native of Whampoa, was one of the earliest Chinese ever to visit Germany. During his stay, several German authors described the two varieties of Cantonese spoken by him and his fellow traveler, Fung Asseng, a native of Xiāngshān. Meanwhile, both Fungs themselves also produced abundant manuscripts reflecting their Cantonese phonology, which can be believed to be of great value for exploring Early Cantonese. This paper aims to investigate the various materials left by Fung Ahok and some German scholars on Cantonese transcription and thus reconstruct his personal phonology.摘要:冯亚学来自广州东郊的黄埔，是最早造访德国的华人之一。他在德国 期间，不仅曾有若干名德国作者描述过他和他的香山籍旅伴冯亚星所 讲的两种粤方言，二人自己也写下了大量反映粤语音系的注音手稿。 应该认为，这些材料对于探索早期粤语颇具价值。本文旨在研究冯亚 学以及数位德国学者所留下的各类文献，从而重构其个人音系。",Journal of Chinese Linguistics
https://doi.org/10.1353/jcl.2023.0004,,Exploring the low applicative,2023,Pylkkäne 把施用结构分为高低两层，为处理施用论元的跨语言语法行 为提供了新的视角和分析方法。然而，其对低层施用词素ApplL 的处 理方法存在多重根本性问题，其中最显著的问题是在语义上把ApplL 当作VP 的论元，但在句法上却当作VP 的内部成分。这显然与论元 关系所呈现出的句法-语义高度一致性相违背。针对这些问题，本文提 出了新的解决方案，设定了ApplL 的两个功能：1)引进施用论元，并 界定施用论元和受事论元之间的所有者和被所有者关系；2)核查V 所 指称的事件是否允准所有者关系的转移。这两大功能决定了ApplL 和 V 之间不可能存在论元关系或修饰关系，而只能把两种独立的语法信 息直接叠加，共同构成相关句法成分的核心内容。令ApplL 类比φ 特 征，V 类比T，两者组合构成V-ApplL。在句法语义规则限制下，组合 结果既能解释低层施用论元的语法语义行为，又能避免Pylkkänen 理 论的弊病。 ,Journal of Chinese Linguistics
https://doi.org/10.1353/jcl.2017.0137,W. Behr,"Tracing variation in old chinese: what, if anything, was “yǎyán 雅言”?",2023,"Based on the single pre-Qin attestation of the compound yǎyán 雅言 in the Confucian Analects (Lúnyǔ 論語 7.18) the idea of a normative spoken standard language is often projected back by early modern and modern authors into remote pre-imperial antiquity. An overview of the conceptual history of the term and of the competing etymologies of yǎ in early Chinese texts is offered in order to problematize this “invented tradition” and its ideological baggage. Four types of evidence (uniformity of phonology and syntax in excavated texts, ode citation practices, phonophoric repair by double phonophoric characters, lexical variation) are then presented and their usefulness to support an early written standard of elite inter-communication is discussed. Straightforward creolization and mixed language accounting for the emergence of Old Chinese are rejected. Instead, a scenario of interrupted language transmission in a highly diverse linguistic Sprachbund area is sketched and argued to best account for the observed asymmetries between a high degree of early lexical and orthographical variation (including substrate influences) on the one hand, and phonological and syntactic uniformity of texts from geographically diverse areas on the other.",Journal of Chinese Linguistics
https://doi.org/10.1353/jcl.2017.0129,Qibin Ran,Reconstructions of Ancient Chinese revisited: From a perspective of similarity calculation on doculects. (In Chinese),2023,"摘要:本文采用 ASJP 模式的语档(doculect)距离计算方法，以经过平衡的 60 个现代汉语方言语档为参照，将高本汉、王力、李方桂、董同龢、周法高、郑张尚芳、潘悟云、白一平-沙加尔等八家构拟的上古音及中古音形成语档，对这些语档进行相似度、变化速率等数据的计算分析。结果显示，在上古、中古拟音与现代汉语方言的相似度，上古拟音到中古拟音的变化速率，上古到中古、中古到现代这两个时期的变化速率比等多个方面，郑张尚芳、白一平-沙加尔的构拟在八家中是合理性和自洽性相对最高的。本文分析认为，从语言历时变化这一外部角度，通过有关数据计算可以为古音构拟的评价提供一定的客观参照。Abstract:Eight reconstruction systems for Old Chinese and Middle Chinese raised by Bernhard Karlgren, Wang Li, Li Fang-Kuei, Tung T'ungho, Chou Fakao, Zhengzhang Shangfang, Pan Wuyun and Baxter-Sagart are revisited in this paper. Taking 60 doculects of balanced Modern Chinese dialects as reference, similarities between Old Chinese, Middle Chinese and modern Chinese dialects are calculated with ASJP tools. Evolution rates for Old Chinese to Middle Chinese, Middle Chinese to Modern Chinese and the rates ratios are analysed. The results show that Zhengzhang Shangfang's and Baxter-Sagart's reconstructions are most reasonable and self-consistent ones among the eight systems. The author argues that, from an external perspective of diachronic change of language, analysis on similarity data and change rates may contribute to reconstruction evaluation.",Journal of Chinese Linguistics
