doi,author,title,year,abstract,journal
https://doi.org/10.1017/langcog.2023.7,Alimujiang Tusun,Uyghur–Chinese early successive adult bilinguals’ construal of caused motion events,2023,"Talmy’s motion event typology has served as a fruitful framework for exploring bilingual cognition and language use. The present study extends this line of research to the bilingualism situation of an underrepresented Turkic language, i.e., Modern Uyghur, and Mandarin Chinese, and it does so by focusing on a relatively understudied type of motion, i.e., caused motion. The two languages are genetically and typologically distinct, and yet they share verb-framing as an important lexicalization pattern in encoding motion. This study, therefore, investigated whether and to what extent this structural overlap contributes to crosslinguistic influence in Uyghur–Chinese adult bilinguals’ construal of caused motion. Thirty Uyghur–Chinese adult bilinguals’ verbalizations were analyzed with respect to the number of semantic components expressed and the way they were syntactically packaged. Results were compared with relevant monolingual data, which showed that Uyghur–Chinese adult bilinguals displayed a strong L1 to L2 influence in syntactic packaging by overusing the verb-framed strategy in Mandarin Chinese. However, further comparisons with previous research on Uyghur–Chinese child and adult bilinguals’ motion construal revealed that, while structural overlap is a key factor motivating crosslinguistic influence, a coherent explanation of this phenomenon must consider more general principles of bilingual language processing and use.",Language and Cognition
https://doi.org/10.1017/langcog.2023.8,Svetlana Vetchinnikova; Alena Konina; Nitin Williams; Nina Mikušová; Anna Mauranen,Chunking up speech in real time: linguistic predictors and cognitive constraints,2023,"There have been some suggestions in linguistics and cognitive science that humans process continuous speech by routinely chunking it up into smaller units. The nature of the process is open to debate, which is complicated by the apparent existence of two entirely different chunking processes, both of which seem to be warranted by the limitations of working memory. To overcome them, humans seem to both combine items into larger units for future retrieval (usage-based chunking), and partition incoming streams into temporal groups (perceptual chunking). To determine linguistic properties and cognitive constraints of perceptual chunking, most previous research has employed short-constructed stimuli modeled on written language. In contrast, we presented linguistically naïve listeners with excerpts of natural speech from corpora and collected their intuitive perceptions of chunk boundaries. We then used mixed-effects logistic regression models to find out to what extent pauses, prosody, syntax, chunk duration, and surprisal predict chunk boundary perception. The results showed that all cues were important, suggesting cue degeneracy, but with substantial variation across listeners and speech excerpts. Chunk duration had a strong effect, supporting the cognitive constraint hypothesis. The direction of the surprisal effect supported the distinction between perceptual and usage-based chunking.",Language and Cognition
https://doi.org/10.1017/langcog.2023.12,Shujun Chen; Lihuan Wu,Variable motion encoding within Chinese: a usage-based perspective,2023,"Languages differ considerably in the way they encode motion. Previous research on motion encoding has paid much attention to inter-typological variation (i.e., variation between language types) and intra-typological variation (i.e., variation within language types), but less focus on intra-linguistic variation (i.e., variation within particular languages). To fill this niche, the current study compares actual motion and metaphorical motion in Standard Mandarin Chinese with a corpus-based approach. We ask whether the typological properties in actual motion extend to metaphorical motion. The results indicate that the answer is negative. The typological properties including lexicalization patterns and the distribution of semantic components vary by both event type (actual motion vs. metaphorical motion) and genre (fiction vs. non-fiction) within Chinese. The intra-linguistic variation can be explained by additional factors – the pragmatic context and the structural property of Chinese. These findings support a constructional proposal of the motion event typology, which is a more nuanced typology that expands the binary distinction between V-languages and S-languages. In this proposal, the consideration of the scalar dimension enables more explicit descriptions of variation within languages (shift left- or rightward on the scale) and more accurate explanations for these phenomena.",Language and Cognition
https://doi.org/10.1017/langcog.2023.14,Huilan Yang; Giacomo Spinelli; Lingling Li; Stephen J. Lupker,Masked orthographic neighbor priming effects in Chinese two-character words,2023,"In masked priming lexical decision tasks in alphabetic or syllabic script languages, latencies are longer when a word target is primed by a higher frequency neighbor (e.g., blue–BLUR) than when primed by an unrelated word of equivalent frequency (e.g., care–BLUR) – an “inhibitory neighbor priming effect.” In contrast, Zhou et al. (1999) demonstrated facilitatory orthographic neighbor priming for two-character Chinese words (e.g., 华丽–华贵). However, Zhou et al. did not control for relative prime-target frequency, which has been shown to be important in experiments when examining languages with other scripts. In the present Experiment 1 word neighbor primes (e.g., 容易-容貌) produced an inhibitory neighbor priming effect when the prime was higher frequency than the target, paralleling effects in other script languages. In further experiments, paralleling those in other script languages, two-character targets primed by nonword neighbors (容待-容貌) or single constituent characters matching the target in either position (容-容貌) showed significant facilitation. These results suggest that lexical activation/competition processes for two-character Chinese words are reasonably similar to those for words in alphabetic/syllabic script languages.",Language and Cognition
https://doi.org/10.1017/langcog.2023.15,Carlos Romero-Rivas; Sara Rodríguez-Cuadrado; Lucía Sabater; Pablo Rodríguez Gómez; Irene Hidalgo de la Guía; Eva M. Moreno; Elena Garayzábal Heinze,Beyond the conservative hypothesis: a meta-analysis of lexical-semantic processing in Williams syndrome,2023,"Williams syndrome (WS) is a rare genetic disorder, characterised at the cognitive level by a phenotypic pattern of relative weaknesses (e.g., visuospatial skills) and strengths (e.g., some linguistic and nonverbal reasoning skills). In this study, we performed a systematic search and meta-analysis on lexical-semantic processing in WS, an area of knowledge in which contradictory results have been obtained. We found 42 studies matching our criteria, and, in total, 78 effect sizes were included in the meta-analysis. Results showed that individuals with WS have worse lexical-semantic skills than individuals with typical development, whether matched by chronological or mental age. However, people with WS have better lexical-semantic skills than people diagnosed with other cognitive disabilities. Finally, vocabulary skills seem to be relatively spared in WS, although they present some difficulties in semantic processing/integration, semantic memory organisation and verbal working memory skills. Taken together, these results support a neuroconstructivist approach, according to which the cognitive mechanisms involved in lexical-semantic processing may be modulated, even when performance in some tasks (i.e., vocabulary tasks) might be optimal.",Language and Cognition
https://doi.org/10.1017/langcog.2023.18,Ya Sun; Deyi Kong; Chenmeng Zhou,Economy or ecology: metaphor use over time in China’s Government Work Reports,2023,"Government attention selectively distributed to various issues in policy-making processes is usually reflected in language, such as metaphors in political discourse. In addition, metaphor change may reveal how conceptualizations of major topics such as economy and ecology evolve over time. After self-building a corpus of China’s 45-year Government Work Reports, this study explores whether there is a difference in attention to topics of economy and ecology over time and investigates the diachronic change of metaphor use on them based on a modified framework for diachronic metaphor change analysis. Results show that attention to economy has been steadily decreasing while attention to ecology has been growing, and that there is an increasing tendency of using more economy and ecology metaphors. Metaphor change on the use of source domains is arranged on a continuum, ranging from constant use (war for economy and ecology, and journey and object for economy), incremental change (living organism and building for economy and ecology, and object for ecology) to fundamental change (building and living organism for ecology). This study may enrich the understanding of diachronic metaphor change by providing a Chinese perspective on the metaphor use in government discourse over time.",Language and Cognition
https://doi.org/10.1017/langcog.2023.22,Jinmeng Dou; Meichun Liu; Tong Chen,Embodiment of color metaphor: an image-based visual analysis of the Chinese color terms hēi ‘black’ and bái ‘white’,2023,"Perceptual information includes sensorimotor and emotional experience regarding the multimodality of the perceptual system. The current study provides an image-based visual analysis on the embodiment of color metaphors through the investigation of (i) the perceptual (dis)similarities between the literal and metaphorical meanings of the Chinese color terms hēi ‘black’ and bái ‘white’ and (ii) the influence of emotional valence on the degree of their perceptual (dis)similarities. Specifically, 24 concepts in three semantic domains were represented as eight-dimensional vectors based on the color information extracted from online images, including two color concepts of black and white, 20 abstract concepts referring to 8 metaphorical meanings of hēi and 12 metaphorical meanings of bái, and two abstract concepts referring to positive and negative affective polarity. Statistical analyses show that (i) the literal and metaphorical meanings of hēi and bái are perceptually distinguishable given their significant perceptual (dis)similarities and (ii) the observed perceptual distinguishability cannot be solely attributed to the (in)consistency of emotional valence associated with the senses. The present study provides nonlinguistic evidence for the embodiment of color metaphors in the Chinese context with an empirical approach that can simultaneously capture the metaphorical mappings and affective associations among cross-domain concepts with sensory data.",Language and Cognition
https://doi.org/10.1017/langcog.2023.23,Autumn B. Hostetter; Sonal Bahl,Comparing the cognitive load of gesture and action production: a dual-task study,2023,"Speech-accompanying gestures have been shown to reduce cognitive load on a secondary task compared to speaking without gestures. In the current study, we investigate whether this benefit of speech-accompanying gestures is shared by speech-accompanying actions (i.e., movements that leave a lasting trace in the physical world). In two experiments, participants attempted to retain verbal and spatial information from a grid while describing a pattern while gesturing, while making the pattern, or while keeping hands still. Producing gestures reduced verbal load compared to keeping hands still when the pattern being described was visually present (Experiment 1), and this benefit was not shared by making the pattern. However, when the pattern being described was not visually present (Experiment 2), making the pattern benefited verbal load compared to keeping hands still. Neither experiment revealed a significant difference between gesture and action. Taken together, the findings suggest that moving the hands in meaningful ways can benefit verbal load.",Language and Cognition
https://doi.org/10.1017/langcog.2023.10,Nina Julich-Warpakowski; Paula Pérez-Sobrino,"M. Bolognesi, M. Brdar, & K. Despot (eds.) (2019). Metaphor and metonymy in the digital age. Theory and methods for building repositories of figurative language. John Benjamins (Metaphor in Language, Cognition, and Communication, 8).",2023,//static.cambridge.org/content/id/urn%3Acambridge.org%3Aid%3Aarticle%3AS1866980823000108/resource/name/firstPage-S1866980823000108a.jpg,Language and Cognition
https://doi.org/10.1017/langcog.2023.33,,Beyond the conservative hypothesis: a meta-analysis of lexical-semantic processing in Williams syndrome – ERRATUM,2023,//static.cambridge.org/content/id/urn%3Acambridge.org%3Aid%3Aarticle%3AS1866980823000339/resource/name/firstPage-S1866980823000339a.jpg,Language and Cognition
