doi,author,title,year,abstract,journal
https://doi.org/10.1515/opli-2022-0227,Akiko Muroya,Interpreting unwillingness to speak L2 English by Japanese EFL learners,2023,"This article reports on an empirical study investigating what makes Japanese learners of English as a foreign language (EFL) unwilling to speak English, regardless of their learning period, proficiency level, and location of the communication. The current study focuses on the self-perception of second language (L2) English abilities, anxiety, and interlocutors as possible causes of their unwillingness to speak L2 English, compared with first language (L1) Japanese. An online questionnaire was administered to 27 Japanese undergraduate students (age: 19–22) with non-English majors at a national university in Tokyo, Japan. The results show that the elements depressing the self-perception and willingness to speak are fundamental to managing human relationships in speaking situations, which have more impact on L2 English than L1 Japanese contexts. This is attributable to other-directedness, which has been discussed as being characteristic of Japanese and Chinese EFL learners. Furthermore, it appears plausible to assume that the other-directedness derives more from “considerations for others” than “face-saving.” Future work will further investigate what constitutes Japanese other-directedness, compared with Chinese EFL learners’.",Open Linguistics
https://doi.org/10.1515/opli-2022-0226,Sha Liu,Factors in sound change: A quantitative analysis of palatalization in Northern Mandarin,2023,"Factors in sound change are still a major subject of debate in the field of linguistics, with the frequency factor perhaps being the most controversial. The present article focuses on palatalization of the velars before high front vowels and glides in Northern Mandarin, because palatalization stretched for more than 100 years and can provide detailed information concerning its contour. Based on a statistical analysis of corpus data of palatalization in Northern Mandarin, the present article argues that the factor of frequency is positively associated with palatalization and the factor of frequency change is negatively associated. Morphosyntactic structure and word class are also claimed to be factors in sound change. However, neither of these two factors has emerged as significant in the current study.",Open Linguistics
https://doi.org/10.1515/opli-2022-0228,Rafik Jamoussi; Aladdin Al Zahran; Kais A. Kadhim,Beliefs on translation speed among students. A case study,2023,"Novice translation graduates are often found to be slow translators. The fact that this deficiency is usually rectified through professional experience implies that initial performance issues are the outcome of a complex interplay of factors, which do not involve intrinsic abilities. Based on insights from cognitively oriented research on students’ beliefs about language learning and the impact these beliefs have on students’ performance, the present study posits that the beliefs students have towards the question of translation speed represent one of the factors that fashion their productivity. Targeting graduates from the English Language and Translation programme at a private university in an Arab Gulf State, a mixed method approach, including a survey and a semi-structured interview, was adopted to explore the beliefs students have towards the question of speed and to identify the sources of these beliefs in their training programme. Analysis reveals that productivity awareness among the investigated population is almost non-existent and points at the predominantly product-oriented approach that characterises their learning experience as the main source of this condition. This article argues that improving students’ awareness of productivity requirements is not just a case of integrating timed activities, but calls for the adoption of multi-layered process-oriented training principles and practices at the level of delivery, feedback, and assessment criteria.",Open Linguistics
https://doi.org/10.1515/opli-2022-0225,Prakash Mondal,Towards a unified representation of linguistic meaning,2023,"Natural language meaning has properties of both cognitive representations and formal/mathematical structures. But it is not clear how they actually relate to one another. The central aim of this article is to show that properties of cognitive representations and formal/mathematical structures of natural language meaning, albeit apparently divergent, can be united, as far as the basic properties of semantic structures are concerned. Thus, this article will formulate the form of unified representations for semantic structures. With this goal, this article takes into account standard formal-semantic representations and also Discourse Representation Theory (DRT) representations on the one hand and semantic representations in different versions of Conceptual/Cognitive Semantics (Jackendoff’s, Langacker’s and Talmy’s approaches to Conceptual/Cognitive Semantics) and representations of Mental Spaces (Fauconnier’s approach) on the other hand. The rationale behind the selection of these approaches is that the representations of semantic structures under these approaches are all amenable to unification. It must be emphasized that showing that the representations of semantic structures under these approaches can be unified does not simply amount to unifying these theories/approaches in toto. Rather, it is to demonstrate that cognitive representations and formal/mathematical structures can be shown to be inter-translatable for at least some accounts of linguistic meaning.",Open Linguistics
https://doi.org/10.1515/opli-2022-0229,Lindsay Susannah Schmauss; Kelly Kilian,Hedging with modal auxiliary verbs in scientific discourse and women’s language,2023,"This Critical Discourse Analysis examines hedging as a linguistic device at the intersection of scientific discourse and women’s language. Hedging has been identified as a marker of scientific discourse where it is valued for expanding dialogic space for the promulgation of knowledge. It is also a recognised marker of women’s common language, where it is purported to align with discriminatory gender norms that women should not impose their views but could also be construed as a lack of clear thinking, conviction, or confidence. This could be limiting, especially in professional domains, however, the particular value attached to hedging in scientific discourse challenges this hypothesis and provides the focus of this study of gender differences in hedging with modal auxiliary verbs in the context of scientific discourse. The findings confirm hedging as a marker of scientific discourse and reflect modal auxiliaries being used with similar frequency by women and men, although with subtle, but significant differences in the specific modals that were used, and how. This provides a nuanced picture of women hedging in ways that mostly exemplify the standards of scientific discourse while also integrating some of the socially normative hedging practices that are associated with women’s language.",Open Linguistics
https://doi.org/10.1515/opli-2022-0230,Yongfa Cao; Dolors Font-Rotchés; Agnès Rius-Escudé,Front vowels of Spanish: A challenge for Chinese speakers,2023,"This research proposes to define the timbre of front vowels [e] and [i] in the spontaneous speech of the Spanish interlanguage spoken by Chinese people and to determine the convergent and divergent features of Peninsular Spanish. Variables such as gender, level of Spanish proficiency and the (a)tonicity of the vowels will also be assessed to see the extent to which these factors influence the pronunciation of the learners. A corpus of 1,489 front vowels produced by 36 Chinese speakers and a corpus of 420 vowels produced by 79 Spanish speakers were used for this study. The mean F 1 and F 2 values were calculated for each vowel. According to the statistical analysis of spontaneous speech, the interlanguage and the target language are similar in that the sounds [i] and [e] are significantly different, the atonic and tonic [i] show no significant differences and the tonic [e] is more open than the atonic [e] in both genders. However, the interlanguage diverges more from the target language because the timbre of the front vowels is more dispersed, that of [i] is more closed and fronted and that of [e] is more open and fronted, in both males and females, tonic and atonic. Finally, the study reveals that the level of language proficiency and tonicity are factors that influence the acquisition of pronunciation.",Open Linguistics
https://doi.org/10.1515/opli-2022-0215,Manuel David González Pérez,Spheres of interest: Space and social cognition in Phola deixis,2023,"After a period of space-centred description of demonstratives, recent research has highlighted the role of attention, psychological proximity and shared knowledge in determining deictic choice. While convincing evidence has been presented that mental states may define deictic reference (e.g. in Turkish, Jahai or Kogi), there is also neuroscientific data suggesting that spatial cognition is often drawn upon in the process and that spatial and attentional perspectives may interact with each other. Pragmatic analysis of deictic usage in some languages (e.g. Yucatec or Lao) suggests that demonstrative systems may respond to multidimensional search spaces that include not only spatial but also embodied, perceptual and social access to referents. On the basis of observational data from Phola, a Tibeto-Burman language of Southwest China, the present article contributes to these research endeavours by explicitly exploring how speaker and addressee demonstratives may independently respond to both spatial and sociocognitive modes of access to a referent. Advancing the notion of spheres of interest as a descriptive heuristics to capture this fluidity, it is shown how deictic choice not only passively reflects aspects of context but also actively projects intersubjective appraisals and expectations onto material and social reality.",Open Linguistics
https://doi.org/10.1515/opli-2022-0237,Alba Arias Álvarez; Sheryl Bernardo-Hinesley,"Uncovering minoritized voices: The linguistic landscape of Mieres, Asturies",2023,"Recent sociolinguistic studies have emphasized the role of the linguistic landscape (LL) in relation to languages and identity negotiation. The present study examines the presence of Asturian, a minoritized language spoken in the Principality of Asturies, in the LL of a town located in the center of Asturies: Mieres. Through qualitative analyses, data illustrate that Asturian has visibility not only on top-down signage but also on bottom-up. Furthermore, findings reveal that the use of this language, as well as semiotic resources that convey the Asturian identity in the Mieres signage, portray the struggles and fragility of the Asturian minoritized linguistic group within this locality. This study illustrates the importance of comprehensive implementation of language protection policies in relation to the maintenance and revitalization of minoritized languages, as well as in the protection of a speech community’s linguistic rights.",Open Linguistics
https://doi.org/10.1515/opli-2022-0238,Kapitolina Fedorova; Hye Hyun Nam,“Multilingual islands in the monolingual sea”: Foreign languages in the South Korean linguistic landscape,2023,"The article aims at analyzing data on the South Korean linguistic landscape, with a focus on multilingual practices and different dimensions of language use, sets of norms, and ideological constructs underling particular linguistic choices. It is based on the analysis of a data set of over 800 digital photos of various signs and advertisements as well as necessary metadata gathered in 2018–2020 in four different urban contexts. The data, on the one hand, reflect recent changes favoring multilingualism; on the other hand, they demonstrate pragmatic inequality of other languages than Korean in public use. This inequality, however, is represented differently in certain spatial urban contexts; while commodified English tends to function as a substitution for other foreign languages and as an emblem of “foreignness,” agentivity of new ethnically diverse speakers creates “multilingual islands,” and that process can at some point challenge the dominance of monolingual ideology.",Open Linguistics
https://doi.org/10.1515/opli-2022-0241,Víctor Fernández-Mallat; David Barrero,Changes and continuities in second person address pronoun usage in Bogotá Spanish,2023,"In this article, we provide further evidence that Bogotá Spanish is transitioning from being an extensively usted- using variety into one in which tú is preferred in informal interaction by analyzing survey data through a quantitative approach, and metalinguistic commentary through a qualitative approach. Our data show that tú is mainly thought of as a productive way to convey proximity. At the same time, our data show that, despite this change in second person preference, usted and sumercé persist in familiar address, albeit at rates considerably lower than tú. Usted is particularly frequent among males in same-gender dyads because it allows them to avoid the possible connotations of effeminacy that tú may have in that specific context. Sumercé is frequently selected in addressing older relatives and individuals from the countryside because it is seen as being capable of conveying respect and affection simultaneously. Moreover, sumercé is seen as a sign of local identity capable of distinguishing Bogotá Spanish from other national varieties with vos, which is marginal in our data. Our findings are best seen through the proposal that address forms may gain specific meanings within their particular context of use, despite having more conventional meanings attached to them.",Open Linguistics
