doi,author,title,year,abstract,journal
https://doi.org/10.1080/07268602.2023.2229259,,Conceptualizations of gratitude: A comparative analysis of English and Persian dissertation acknowledgements written by Persian authors,2023,,Australian Journal of Linguistics
https://doi.org/10.1080/07268602.2023.2218270,Mark Robert Gordon Harvey; Nay San; Michael Proctor; Forrest Panther; Myf Turpin,The Kaytetye segmental inventory,2023,"There are three phonological hypotheses on the Kaytetye segmental inventory. Hypothesis 1 proposes 30 segments: four monophthongs, one diphthong and 25 consonants. Hypothesis 2 proposes 54 segments: two monophthongs and 52 consonants. Hypothesis 3 proposes 55 segments: three monophthongs and 52 consonants. The choice between these three hypotheses has significant implications for models of phonological contrast, phonotactic organization, syllable structure and partial reduplication processes in Kaytetye. We evaluate the three hypotheses against evidence from these domains and find that Hypothesis 1 is the best supported phonological analysis. Companion analysis of the phonetic distribution and functional load of medial Kaytetye monophthong tokens was conducted by phonetically-trained transcribers, and compared with groupings of vowels obtained through unsupervised classification of first and second formant values using finite Gaussian mixture models. Both transcriber-perceived and machine-learnt categorizations agree that none of the four monophthongs are marginal, nor can their qualities be attributed to phonological context effects. These data demonstrate the importance of both phonological and phonetic evidence in evaluating the structure and properties of vowel systems in under-described languages. ",Australian Journal of Linguistics
https://doi.org/10.1080/07268602.2023.2217412,Thomas Ennever; Mitchell Browne,Cross-referencing of non-subject arguments in Pama-Nyungan languages,2023,,Australian Journal of Linguistics
https://doi.org/10.1080/07268602.2023.2226094,Heng Li,Personality in your hands: How extraversion traits influence preference for pointing in Chinese people,2023,"The cognitive science literature reports significant cultural variation in pointing gesture repertoires. It is unknown, however, if individual differences in personality traits can influence pointing preferences within a single culture. Here, we sought to examine how extraversion is associated with people’s manual and non-manual pointing preferences. In a referential communication task, speakers were required to describe locations and objects on a complex display for addressees. The results showed that participants with high extraversion used more manual pointing than those with low extraversion. However, the two groups showed no difference in the mean number of non-manual pointing. It may be that compared with less extraverted speakers, highly extraverted speakers have more energy that can be devoted into interpersonal communication. These findings provide the first step to understanding that personality traits can act as an important moderator in pointing preferences and, more broadly, about the nature and emergence of human communication. ",Australian Journal of Linguistics
https://doi.org/10.1080/07268602.2023.2223506,Timothy C Shea; Andy Gibson; Anita Szakay; Felicity Cox,Australian English speakers’ attitudes to fricated coda /t/,2023,,Australian Journal of Linguistics
https://doi.org/10.1080/07268602.2022.2043824,Gian Marco Farese,The ethnopragmatics of English stage-of-life words as forms of address,2022,"ABSTRACT This paper examines the nominal category of stage-of-life words used in English address practices and presents an analysis of their interactional uses and meanings made adopting the principles and methods of ethnopragmatics. The paper has a twofold aim: (i) to highlight the polysemous nature of English stage-of-life words and make a clear distinction between their reference and address meanings; and (ii) to show that the address meanings of stage-of-life words reflect their sociopragmatic function in discourse. Using Natural Semantic Metalanguage (NSM) methodology, separate semantic explications are produced for the meanings expressed by each address noun in different interactional contexts. More generally, the present study highlights the interface between semantics, pragmatics and cultural assumptions, showing how this connection can be used as the starting point to conduct a proper ethnography of speaking.",Australian Journal of Linguistics
https://doi.org/10.1080/07268602.2021.2000365,Anne M. Cronin,Beyond ‘Macassans’: Speculations on layers of Austronesian contact in northern Australia,2022,,Australian Journal of Linguistics
https://doi.org/10.1080/07268602.2022.2157675,Gwendolyn Hyslop,Toward a typology of tonogenesis: Revising the model,2022,"ABSTRACT The birth of tone, or tonogenesis, has been an area of research for over a century, yet we are still unable to predict how and when a language will acquire tone. This article compiles a typology by researching tonogenesis from 40 different languages across a range of families. Each tonogenetic event within these languages is coded for syntagmatic position, manner and laryngeal setting of the tonogenetic trigger. I further make a distinction between ‘strict’ tonogenesis, when a language acquires tone for the first time, as something distinct from ‘broad’ tonogenesis, in which a tonal language develops additional tones. The results of this typology then reveal several novel findings, including the prevalence of onset-conditioned tonogenesis and the importance of sonority in strict tonogenesis. In summary, I show that the Vietnamese model is not applicable in most cases and that tonogenesis is a highly varied phenomenon, warranting further detailed study and a more refined model.",Australian Journal of Linguistics
https://doi.org/10.1080/07268602.2023.2180320,Feng (Kevin) Jiang; Xuyan Qiu,“These findings are very astonishing”: Hyping of disciplinary research in 3MT presentations and thesis abstracts,2022,"ABSTRACT The changing landscape of scientific communication raises new academic contexts in which research postgraduate students are exposed to diversified forms of interaction and a less predictable audience. Against this backdrop Three Minute Thesis (3MT) presentations have emerged, although we have not yet developed sufficient knowledge about how students present their research work to diverse audiences. In this study, we compared 80 students’ hyping practice of using promotional language to embellish or exaggerate aspects of the same research in 3MT presentations and thesis abstracts to explore how they understand their disciplinary knowledge and its connection with different audiences, and how they adapt their discourse accordingly. Our findings show that students hyped more frequently in 3MT presentations, relying on adverbial affective markers and attending to the broad research area. In thesis abstracts, conversely, boosting hypes were mainly used, especially verb resources, to comment on certainty of knowledge claims and promote the research methods used in the doctoral research. We see the divergency as a likely consequence of different communicative purposes between the two genres, and the different academic status and power asymmetry between students and the audience of each genre. In addition, disciplinarity was noted. Students in the hard sciences made more use of hypes in their 3MT presentations than their peers in the soft sciences and were inclined to promote both broad and specific research areas and embellish the primacy attached to their research. This disciplinary hyping practice is perhaps related to the conceptual abstractness of scientific knowledge and its opaque connection with common wisdom and public interest. Therefore, this study reveals not only that hypes mark a speaker’s orientation to what and who is addressed, but also that students modulate academic persuasion to balance their promotion of results and claims against the discoursal expectations and knowledge bases of different audiences.",Australian Journal of Linguistics
https://doi.org/10.1080/07268602.2022.2073545,Seyed Hamzeh Mousavi,When past meets future in Persian: A construction grammar approach to futurity,2022,"ABSTRACT In Persian, two of the verbal constructions used for expressing futurity – the Past Simple and the Future Simple – are built around the past form of the main verb. This paper seeks to demystify this connection between the past and the future by investigating how these past forms contribute to the expression of futurity and setting this within an overall analysis of the future constructions in this language. Based on the form of the main verb in 940 sentences with verbal future constructions, six constructions were identified and categorized into future-oriented past constructions (FPST), which include the Past Simple and the Future Simple, and future-oriented present constructions (FPRT), which include the Present Simple, the Present Progressive, the Present Subjunctive and the WANT construction. A construction grammar approach together with Reichenbach and neo-Reichenbach terminology was then utilized to distinguish the differing relations between tense, aspect, mood and speaker perspective, and assign syntactic-semantic maps in terms of features such as level of formality, perfectness, intended future, certainty and inner aspect (aktionsart) to each of the FPST and FPRT constructions. It is argued that the use of the past form of the main verb in the Past Simple and the Future Simple (FPST constructions) owes much to aspectual and ontological factors, with the past element indicating certainty, perfectness and a speaker perspective of looking back.",Australian Journal of Linguistics
https://doi.org/10.1080/07268602.2022.2105137,Jennifer Elizabeth Green; Felicity Meakins; Cassandra Algy,Tradition and innovation: Using sign language in a Gurindji community in Northern Australia,2022,"ABSTRACT In the Gurindji community of Kalkaringi in Northern Australia the shared practices of everyday communication employed by both hearing and deaf members of the community include conventionalized manual actions from the lexicon of Indigenous sign as well as some recent visual practices derived from contact with both written English and with Auslan. We consider some dimensions of these multimodal practices, including kinship signs and signs for time-reference, and discuss several notable features in these domains. The first is gender-motivated use of the left and right sides of the body in several kinship signs. The second is the use of celestial anchoring in some signs for time. The use of spatially accurate pointing also contributes to the indexical richness of these communicative practices, as do some introduced semiotic resources, such as air-writing, and Auslan fingerspelling. As the first description of Gurindji sign, we establish a basis for further understandings of how tradition and innovation are incorporated into these shared practices.",Australian Journal of Linguistics
https://doi.org/10.1080/07268602.2022.2148455,Helen Bromhead,Tensions in talking about disasters: Habitual versus climate-informed – The case of bushfire vocabulary in Australia,2022,"ABSTRACT Disasters occasion ways of speaking and writing in the societies in which they take place. Now, due to climate change, events such as wildfires, floods and heatwaves are becoming more severe and more frequent. Therefore, the climate crisis poses a challenge, not only materially, but discursively. Habitual vocabulary may no longer be appropriate, and there is a pull between these turns of phrase and newer ones informed by climate change. The article takes the case of Australia whose public discourse in English about ‘bushfires’ has been characterized by traditional vocabulary, focused on battling the elements. Through three examples, the study treats tensions between the habitual and the climate-informed in event names (e.g. Black Summer), a social category (volunteer firefighters) and a construction of political critique (I don’t hold a hose). The frame taken is semantically-enhanced discourse studies, inspired by natural semantic metalanguage (NSM) and other cultural takes. A transtextual approach is used, along with research from humanities and social science. The study finds that through the interplay between habitual and climate-informed vocabulary about ‘bushfires’, one can view conceptions of events, cultures, social relations, identities and relationships to places in Australia. Extreme weather formations and climate change formations cannot be easily separated.",Australian Journal of Linguistics
https://doi.org/10.1080/07268602.2023.2198078,Yuan Zhang,Negation and underlying spatial cognition: The evolution of Chinese mei (you) as a case study,2022,"ABSTRACT Negation and spatial experiences are basic to human cognition. While both should be indispensable to the exploration of each other, the relationship between them has seldom been touched upon. This study takes the Chinese negative marker mei (you) as a case study by investigating its evolutionary path in relation to spatial cognition. Drawing on corpus-based data across three historical stages before Modern Chinese, the study yields the following findings. First, the original meaning of mei involves dynamic spatial movement, which can extend to abstract domains. Second, rich concrete meanings of mei trigger semantic schematization at the second stage, spatial cognition playing a fundamental role. Third, the negative marker use of mei combines with you at the third stage, which is attributed to the fact that the spatial existence of you fits with the semantic component of existence in mei. The significance of the study lies in three aspects: first, the division of historical stages accords with the key turning points in the evolution of Chinese; second, the exploration follows a diachronic development, instead of being based merely on static performance; and third, this perspective sheds light on the role of spatial cognition in the conceptualization of negation in both Chinese and other languages.",Australian Journal of Linguistics
